,vocals,accompaniment,drums,bass,other,MIX
Chris Durban - Celebrate (3),0,141,108,0,35,141
Chris Durban - Celebrate (4),0,211,178,0,34,211
Chris Durban - Celebrate (5),0,252,206,0,40,252
Chris Durban - Celebrate (6),0,243,205,0,35,243
Chris Durban - Celebrate (7),0,265,221,0,41,265
Chris Durban - Celebrate (8),0,269,233,0,36,269
Chris Durban - Celebrate (9),0,295,253,0,39,295
Chris Durban - Celebrate (10),0,235,193,0,38,235
Chris Durban - Celebrate (11),0,232,195,0,35,232
Chris Durban - Celebrate (12),0,662,238,341,104,662
Chris Durban - Celebrate (13),0,834,249,449,112,834
Chris Durban - Celebrate (14),0,731,266,367,105,731
Chris Durban - Celebrate (15),0,776,212,437,122,776
Chris Durban - Celebrate (16),0,672,191,365,108,672
Chris Durban - Celebrate (17),33,823,241,482,114,857
Chris Durban - Celebrate (18),76,789,272,391,110,866
Chris Durban - Celebrate (19),52,714,231,336,137,768
Chris Durban - Celebrate (20),179,762,224,407,111,937
Chris Durban - Celebrate (21),52,824,207,487,127,881
Chris Durban - Celebrate (22),85,800,240,423,142,880
Chris Durban - Celebrate (23),106,723,271,321,119,828
Chris Durban - Celebrate (24),155,828,212,400,196,985
Chris Durban - Celebrate (25),110,774,191,402,179,890
Chris Durban - Celebrate (26),37,835,259,390,183,873
Chris Durban - Celebrate (27),248,1147,235,424,465,1414
Chris Durban - Celebrate (28),382,1246,269,316,620,1647
Chris Durban - Celebrate (29),245,1411,218,437,717,1658
Chris Durban - Celebrate (30),462,1215,188,400,617,1691
Chris Durban - Celebrate (31),333,1378,248,396,747,1693
Chris Durban - Celebrate (32),298,1347,260,379,679,1651
Chris Durban - Celebrate (33),415,1243,233,342,639,1671
Chris Durban - Celebrate (34),193,1321,207,449,651,1514
Chris Durban - Celebrate (35),24,882,65,376,403,909
Chris Durban - Celebrate (36),60,649,0,419,277,704
Chris Durban - Celebrate (37),0,662,186,361,111,663
Chris Durban - Celebrate (38),0,721,227,373,106,721
Chris Durban - Celebrate (39),16,727,190,403,135,742
Chris Durban - Celebrate (40),39,752,246,393,107,791
Chris Durban - Celebrate (41),97,812,246,449,125,908
Chris Durban - Celebrate (42),41,702,257,310,140,742
Chris Durban - Celebrate (43),144,730,204,399,113,869
Chris Durban - Celebrate (44),41,819,193,485,145,861
Chris Durban - Celebrate (45),22,718,236,388,113,741
Chris Durban - Celebrate (46),92,757,239,408,142,847
Chris Durban - Celebrate (47),127,757,240,329,180,883
Chris Durban - Celebrate (48),37,848,191,495,173,896
Chris Durban - Celebrate (49),5,791,207,394,194,797
Chris Durban - Celebrate (50),310,1140,232,409,532,1468
Chris Durban - Celebrate (51),367,1296,258,404,659,1662
Chris Durban - Celebrate (52),241,1242,203,379,683,1482
Chris Durban - Celebrate (53),458,1187,206,443,593,1651
Chris Durban - Celebrate (54),341,1378,223,384,779,1707
Chris Durban - Celebrate (55),353,1268,230,424,669,1629
Chris Durban - Celebrate (56),344,1229,256,323,659,1585
Chris Durban - Celebrate (57),160,1199,190,410,607,1359
Chris Durban - Celebrate (58),42,989,195,398,411,1034
Chris Durban - Celebrate (59),41,838,238,383,215,881
Chris Durban - Celebrate (60),0,729,234,424,87,730
Chris Durban - Celebrate (61),0,634,253,346,62,634
Chris Durban - Celebrate (62),38,687,198,394,108,724
Chris Durban - Celebrate (63),35,662,189,406,67,696
Chris Durban - Celebrate (64),112,692,234,416,73,806
Chris Durban - Celebrate (65),44,698,251,390,74,742
Chris Durban - Celebrate (66),137,581,214,325,62,716
Chris Durban - Celebrate (67),40,677,168,425,79,715
Chris Durban - Celebrate (68),36,510,0,417,94,547
Chris Durban - Celebrate (69),77,505,0,410,93,582
Chris Durban - Celebrate (70),63,410,0,314,91,474
Chris Durban - Celebrate (71),69,520,0,411,109,588
Chris Durban - Celebrate (72),2,527,0,412,111,528
Chris Durban - Celebrate (73),0,536,0,384,129,536
Chris Durban - Celebrate (74),0,638,0,468,154,639
Chris Durban - Celebrate (75),40,503,0,358,153,544
Chris Durban - Celebrate (76),2,550,0,417,145,553
Chris Durban - Celebrate (77),15,570,0,389,165,586
Chris Durban - Celebrate (78),27,619,117,397,118,647
Chris Durban - Celebrate (79),0,755,245,412,111,755
Chris Durban - Celebrate (80),93,906,232,325,370,1001
Chris Durban - Celebrate (81),433,1365,278,412,715,1800
Chris Durban - Celebrate (82),308,1280,251,410,634,1589
Chris Durban - Celebrate (83),357,1307,231,423,703,1668
Chris Durban - Celebrate (84),365,1259,254,358,682,1639
Chris Durban - Celebrate (85),240,1279,244,360,678,1531
Chris Durban - Celebrate (86),472,1417,294,420,703,1904
Chris Durban - Celebrate (87),283,1300,221,393,708,1573
Chris Durban - Celebrate (88),39,1267,275,445,581,1316
Chris Durban - Celebrate (89),161,1192,212,284,687,1369
Chris Durban - Celebrate (90),246,1379,317,432,638,1642
Chris Durban - Celebrate (91),241,1340,194,414,702,1619
Chris Durban - Celebrate (92),312,1309,328,380,673,1633
Chris Durban - Celebrate (93),184,1236,178,387,656,1409
Chris Durban - Celebrate (94),197,1363,332,359,713,1558
Chris Durban - Celebrate (95),249,1349,203,448,737,1606
Chris Durban - Celebrate (96),126,1240,310,398,593,1363
Chris Durban - Celebrate (97),4,836,88,421,376,841
Chris Durban - Celebrate (98),0,620,151,385,101,620
Chris Durban - Celebrate (99),0,393,86,278,40,393
Chris Durban - Celebrate (100),0,53,22,0,33,53
Clara Berry And Wooldog - Air Traffic (0),0,21,0,0,21,21
Clara Berry And Wooldog - Air Traffic (1),0,37,0,0,37,37
Clara Berry And Wooldog - Air Traffic (2),0,103,0,0,103,103
Clara Berry And Wooldog - Air Traffic (3),0,105,0,0,105,105
Clara Berry And Wooldog - Air Traffic (4),0,126,0,0,126,126
Clara Berry And Wooldog - Air Traffic (5),29,76,0,0,76,103
Clara Berry And Wooldog - Air Traffic (6),204,61,0,0,61,268
Clara Berry And Wooldog - Air Traffic (7),122,47,0,0,47,172
Clara Berry And Wooldog - Air Traffic (8),143,45,0,0,45,187
Clara Berry And Wooldog - Air Traffic (9),128,61,0,0,61,190
Clara Berry And Wooldog - Air Traffic (10),69,50,0,0,50,120
Clara Berry And Wooldog - Air Traffic (11),179,65,0,0,65,243
Clara Berry And Wooldog - Air Traffic (12),123,53,0,0,53,183
Clara Berry And Wooldog - Air Traffic (13),89,50,0,0,50,137
Clara Berry And Wooldog - Air Traffic (14),201,59,0,0,59,260
Clara Berry And Wooldog - Air Traffic (15),89,58,0,0,58,151
Clara Berry And Wooldog - Air Traffic (16),22,41,0,0,41,64
Clara Berry And Wooldog - Air Traffic (17),76,380,74,235,90,461
Clara Berry And Wooldog - Air Traffic (18),109,498,72,349,81,603
Clara Berry And Wooldog - Air Traffic (19),21,499,76,336,70,519
Clara Berry And Wooldog - Air Traffic (20),102,523,79,356,97,621
Clara Berry And Wooldog - Air Traffic (21),36,513,73,336,107,550
Clara Berry And Wooldog - Air Traffic (22),11,622,182,384,67,632
Clara Berry And Wooldog - Air Traffic (23),140,873,222,540,117,1013
Clara Berry And Wooldog - Air Traffic (24),132,806,182,527,82,944
Clara Berry And Wooldog - Air Traffic (25),84,657,181,404,71,740
Clara Berry And Wooldog - Air Traffic (26),93,696,203,386,97,783
Clara Berry And Wooldog - Air Traffic (27),108,765,205,431,139,864
Clara Berry And Wooldog - Air Traffic (28),375,928,341,413,141,1308
Clara Berry And Wooldog - Air Traffic (29),81,674,240,363,112,758
Clara Berry And Wooldog - Air Traffic (30),94,768,251,403,102,863
Clara Berry And Wooldog - Air Traffic (31),405,711,217,367,136,1104
Clara Berry And Wooldog - Air Traffic (32),14,695,221,345,115,703
Clara Berry And Wooldog - Air Traffic (33),36,857,400,367,96,901
Clara Berry And Wooldog - Air Traffic (34),120,701,242,351,82,818
Clara Berry And Wooldog - Air Traffic (35),136,636,253,326,70,769
Clara Berry And Wooldog - Air Traffic (36),173,766,249,421,89,932
Clara Berry And Wooldog - Air Traffic (37),114,695,265,359,79,812
Clara Berry And Wooldog - Air Traffic (38),176,707,238,393,93,889
Clara Berry And Wooldog - Air Traffic (39),142,773,227,464,95,919
Clara Berry And Wooldog - Air Traffic (40),63,536,70,376,91,595
Clara Berry And Wooldog - Air Traffic (41),252,542,78,346,112,799
Clara Berry And Wooldog - Air Traffic (42),115,462,79,320,89,574
Clara Berry And Wooldog - Air Traffic (43),76,483,78,330,70,560
Clara Berry And Wooldog - Air Traffic (44),185,591,143,351,106,757
Clara Berry And Wooldog - Air Traffic (45),226,872,343,373,171,1078
Clara Berry And Wooldog - Air Traffic (46),243,615,167,349,109,856
Clara Berry And Wooldog - Air Traffic (47),19,521,131,290,82,539
Clara Berry And Wooldog - Air Traffic (48),310,604,152,318,123,897
Clara Berry And Wooldog - Air Traffic (49),178,463,115,273,86,637
Clara Berry And Wooldog - Air Traffic (50),48,192,46,81,65,237
Clara Berry And Wooldog - Air Traffic (51),92,5,0,2,2,97
Clara Berry And Wooldog - Air Traffic (52),108,0,0,0,0,108
Clara Berry And Wooldog - Air Traffic (53),77,0,0,0,0,77
Clara Berry And Wooldog - Air Traffic (54),63,0,0,0,0,63
Clara Berry And Wooldog - Air Traffic (55),5,0,0,0,0,5
Clara Berry And Wooldog - Air Traffic (56),0,0,0,0,0,0
Clara Berry And Wooldog - Air Traffic (57),0,0,0,0,0,0
Clara Berry And Wooldog - Stella (0),0,13,0,0,13,13
Clara Berry And Wooldog - Stella (1),0,21,0,0,21,21
Clara Berry And Wooldog - Stella (2),0,26,0,2,25,26
Clara Berry And Wooldog - Stella (3),0,134,0,99,27,134
Clara Berry And Wooldog - Stella (4),0,99,0,82,19,99
Clara Berry And Wooldog - Stella (5),1,168,0,133,41,169
Clara Berry And Wooldog - Stella (6),155,128,0,101,26,287
Clara Berry And Wooldog - Stella (7),152,243,0,230,34,400
Clara Berry And Wooldog - Stella (8),156,220,0,188,31,373
Clara Berry And Wooldog - Stella (9),134,104,0,69,27,238
Clara Berry And Wooldog - Stella (10),5,217,0,176,37,221
Clara Berry And Wooldog - Stella (11),174,381,0,313,74,552
Clara Berry And Wooldog - Stella (12),613,308,0,235,72,921
Clara Berry And Wooldog - Stella (13),99,219,0,169,45,320
Clara Berry And Wooldog - Stella (14),14,193,0,159,30,210
Clara Berry And Wooldog - Stella (15),0,249,6,208,47,248
Clara Berry And Wooldog - Stella (16),229,825,75,733,30,1059
Clara Berry And Wooldog - Stella (17),192,890,98,784,43,1078
Clara Berry And Wooldog - Stella (18),168,551,75,455,39,725
Clara Berry And Wooldog - Stella (19),96,671,73,558,44,766
Clara Berry And Wooldog - Stella (20),104,769,112,608,45,870
Clara Berry And Wooldog - Stella (21),111,898,101,695,64,1004
Clara Berry And Wooldog - Stella (22),310,1020,75,852,116,1339
Clara Berry And Wooldog - Stella (23),136,830,73,605,122,960
Clara Berry And Wooldog - Stella (24),111,52,27,9,19,165
Clara Berry And Wooldog - Stella (25),174,315,34,269,10,490
Clara Berry And Wooldog - Stella (26),65,713,91,544,49,781
Clara Berry And Wooldog - Stella (27),4,895,75,766,29,899
Clara Berry And Wooldog - Stella (28),107,703,78,566,45,808
Clara Berry And Wooldog - Stella (29),281,1043,96,885,49,1319
Clara Berry And Wooldog - Stella (30),209,747,65,660,41,963
Clara Berry And Wooldog - Stella (31),202,653,94,519,55,848
Clara Berry And Wooldog - Stella (32),94,381,92,223,50,473
Clara Berry And Wooldog - Stella (33),0,548,81,395,60,548
Clara Berry And Wooldog - Stella (34),416,832,64,677,76,1248
Clara Berry And Wooldog - Stella (35),301,758,97,577,65,1063
Clara Berry And Wooldog - Stella (36),68,1025,85,880,61,1091
Clara Berry And Wooldog - Stella (37),0,959,92,808,61,959
Clara Berry And Wooldog - Stella (38),114,664,61,520,87,780
Clara Berry And Wooldog - Stella (39),440,831,94,684,67,1261
Clara Berry And Wooldog - Stella (40),594,739,72,619,41,1330
Clara Berry And Wooldog - Stella (41),180,956,95,818,61,1145
Clara Berry And Wooldog - Stella (42),20,600,105,422,60,623
Clara Berry And Wooldog - Stella (43),203,405,61,293,60,602
Clara Berry And Wooldog - Stella (44),698,1204,95,996,139,1898
Clara Berry And Wooldog - Stella (45),491,1090,81,898,88,1577
Clara Berry And Wooldog - Stella (46),357,845,79,676,74,1204
Clara Berry And Wooldog - Stella (47),173,112,25,74,19,285
Clara Berry And Wooldog - Stella (48),88,702,47,562,48,788
Clara Berry And Wooldog - Stella (49),6,750,89,613,49,756
Clara Berry And Wooldog - Stella (50),44,247,58,157,23,292
Clara Berry And Wooldog - Stella (51),266,931,103,371,371,1175
Clara Berry And Wooldog - Stella (52),86,747,81,307,198,865
Clara Berry And Wooldog - Stella (53),40,381,53,244,37,425
Clara Berry And Wooldog - Stella (54),23,1139,81,971,63,1165
Clara Berry And Wooldog - Stella (55),8,634,92,482,41,643
Clara Berry And Wooldog - Stella (56),100,669,60,569,41,768
Clara Berry And Wooldog - Stella (57),207,638,91,481,57,847
Clara Berry And Wooldog - Stella (58),74,369,79,254,32,444
Clara Berry And Wooldog - Stella (59),80,659,97,486,45,741
Clara Berry And Wooldog - Stella (60),56,799,97,635,32,858
Clara Berry And Wooldog - Stella (61),9,765,56,709,24,774
Clara Berry And Wooldog - Stella (62),0,297,0,296,1,297
Clara Berry And Wooldog - Stella (63),0,49,0,49,0,49
Clara Berry And Wooldog - Stella (64),0,7,0,7,0,7
Clara Berry And Wooldog - Waltz For My Victims (0),0,115,0,0,115,115
Clara Berry And Wooldog - Waltz For My Victims (1),0,266,0,0,266,266
Clara Berry And Wooldog - Waltz For My Victims (2),0,330,0,0,330,330
Clara Berry And Wooldog - Waltz For My Victims (3),0,293,0,0,293,293
Clara Berry And Wooldog - Waltz For My Victims (4),0,257,31,36,171,257
Clara Berry And Wooldog - Waltz For My Victims (5),0,659,27,75,546,659
Clara Berry And Wooldog - Waltz For My Victims (6),0,572,28,61,484,572
Clara Berry And Wooldog - Waltz For My Victims (7),0,365,40,97,213,365
Clara Berry And Wooldog - Waltz For My Victims (8),0,425,33,58,336,425
Clara Berry And Wooldog - Waltz For My Victims (9),0,670,40,91,535,670
Clara Berry And Wooldog - Waltz For My Victims (10),0,588,27,65,499,588
Clara Berry And Wooldog - Waltz For My Victims (11),0,340,32,108,207,340
Clara Berry And Wooldog - Waltz For My Victims (12),0,253,29,51,133,254
Clara Berry And Wooldog - Waltz For My Victims (13),256,377,30,59,301,661
Clara Berry And Wooldog - Waltz For My Victims (14),109,363,36,72,272,495
Clara Berry And Wooldog - Waltz For My Victims (15),226,382,38,95,243,570
Clara Berry And Wooldog - Waltz For My Victims (16),13,445,19,83,349,450
Clara Berry And Wooldog - Waltz For My Victims (17),287,451,26,116,313,739
Clara Berry And Wooldog - Waltz For My Victims (18),224,519,25,104,363,725
Clara Berry And Wooldog - Waltz For My Victims (19),307,441,38,84,324,728
Clara Berry And Wooldog - Waltz For My Victims (20),199,652,56,94,500,845
Clara Berry And Wooldog - Waltz For My Victims (21),0,882,37,112,719,882
Clara Berry And Wooldog - Waltz For My Victims (22),0,791,36,84,673,791
Clara Berry And Wooldog - Waltz For My Victims (23),0,823,46,94,683,823
Clara Berry And Wooldog - Waltz For My Victims (24),0,484,34,126,323,484
Clara Berry And Wooldog - Waltz For My Victims (25),262,422,31,111,294,673
Clara Berry And Wooldog - Waltz For My Victims (26),18,404,26,99,288,432
Clara Berry And Wooldog - Waltz For My Victims (27),162,395,41,85,275,566
Clara Berry And Wooldog - Waltz For My Victims (28),49,137,7,85,55,185
Clara Berry And Wooldog - Waltz For My Victims (29),243,462,55,111,306,660
Clara Berry And Wooldog - Waltz For My Victims (30),227,373,33,89,263,605
Clara Berry And Wooldog - Waltz For My Victims (31),117,462,40,89,330,587
Clara Berry And Wooldog - Waltz For My Victims (32),43,475,18,150,283,509
Clara Berry And Wooldog - Waltz For My Victims (33),140,491,58,118,321,589
Clara Berry And Wooldog - Waltz For My Victims (34),27,438,30,143,249,462
Clara Berry And Wooldog - Waltz For My Victims (35),149,468,40,120,294,633
Clara Berry And Wooldog - Waltz For My Victims (36),44,250,25,122,87,292
Clara Berry And Wooldog - Waltz For My Victims (37),186,465,37,136,280,658
Clara Berry And Wooldog - Waltz For My Victims (38),210,412,44,110,267,637
Clara Berry And Wooldog - Waltz For My Victims (39),80,431,38,111,296,521
Clara Berry And Wooldog - Waltz For My Victims (40),118,518,17,108,391,622
Clara Berry And Wooldog - Waltz For My Victims (41),0,505,60,57,385,505
Clara Berry And Wooldog - Waltz For My Victims (42),0,311,10,69,224,311
Clara Berry And Wooldog - Waltz For My Victims (43),0,546,45,82,412,546
Clara Berry And Wooldog - Waltz For My Victims (44),0,497,54,119,322,497
Clara Berry And Wooldog - Waltz For My Victims (45),0,971,51,166,769,971
Clara Berry And Wooldog - Waltz For My Victims (46),0,897,34,165,686,897
Clara Berry And Wooldog - Waltz For My Victims (47),0,840,54,195,584,840
Clara Berry And Wooldog - Waltz For My Victims (48),0,504,50,147,298,504
Clara Berry And Wooldog - Waltz For My Victims (49),0,343,31,88,231,343
Clara Berry And Wooldog - Waltz For My Victims (50),0,364,48,52,242,364
Clara Berry And Wooldog - Waltz For My Victims (51),0,320,45,59,223,320
Clara Berry And Wooldog - Waltz For My Victims (52),0,196,35,31,127,196
Clara Berry And Wooldog - Waltz For My Victims (53),0,39,0,8,31,39
Clara Berry And Wooldog - Waltz For My Victims (54),0,1,0,1,0,1
Clara Berry And Wooldog - Waltz For My Victims (55),0,0,0,0,0,0
Clara Berry And Wooldog - Waltz For My Victims (56),0,0,0,0,0,0
Clara Berry And Wooldog - Waltz For My Victims (57),0,0,0,0,0,0
Clara Berry And Wooldog - Waltz For My Victims (58),0,0,0,0,0,0
Cnoc An Tursa - Bannockburn (0),0,0,0,0,0,0
Cnoc An Tursa - Bannockburn (1),0,1046,472,207,334,1046
Cnoc An Tursa - Bannockburn (2),0,877,372,220,287,877
Cnoc An Tursa - Bannockburn (3),0,868,369,215,320,868
Cnoc An Tursa - Bannockburn (4),0,860,377,201,287,860
Cnoc An Tursa - Bannockburn (5),0,913,415,181,328,913
Cnoc An Tursa - Bannockburn (6),0,836,376,198,271,836
Cnoc An Tursa - Bannockburn (7),0,913,394,203,299,913
Cnoc An Tursa - Bannockburn (8),0,899,455,177,271,899
Cnoc An Tursa - Bannockburn (9),0,1937,1139,271,482,1937
Cnoc An Tursa - Bannockburn (10),0,2042,1271,218,563,2042
Cnoc An Tursa - Bannockburn (11),0,1964,1177,247,571,1964
Cnoc An Tursa - Bannockburn (12),0,1756,1033,204,530,1756
Cnoc An Tursa - Bannockburn (13),129,1612,915,221,445,1750
Cnoc An Tursa - Bannockburn (14),241,1435,905,198,279,1664
Cnoc An Tursa - Bannockburn (15),245,1276,792,201,281,1510
Cnoc An Tursa - Bannockburn (16),280,1372,849,216,260,1635
Cnoc An Tursa - Bannockburn (17),255,1176,664,223,307,1419
Cnoc An Tursa - Bannockburn (18),229,1105,380,277,395,1323
Cnoc An Tursa - Bannockburn (19),241,941,348,240,334,1169
Cnoc An Tursa - Bannockburn (20),250,1001,361,263,391,1249
